,Company Name,Industry,stock
126,Data Patterns (India) Ltd.,Capital Goods,DATAPATTNS.NS
127,Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,DEEPAKFERT.NS
128,Deepak Nitrite Ltd.,Chemicals,DEEPAKNTR.NS
129,Delhivery Ltd.,Services,DELHIVERY.NS
130,Delta Corp Ltd.,Consumer Services,DELTACORP.NS
131,Devyani International Ltd.,Consumer Services,DEVYANI.NS
132,Divi's Laboratories Ltd.,Healthcare,DIVISLAB.NS
133,Dixon Technologies (India) Ltd.,Consumer Durables,DIXON.NS
134,Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB.NS
135,Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY.NS
136,E.I.D. Parry (India) Ltd.,Chemicals,EIDPARRY.NS
137,EIH Ltd.,Consumer Services,EIHOTEL.NS
138,EPL Ltd.,Capital Goods,EPL.NS
139,Easy Trip Planners Ltd.,Consumer Services,EASEMYTRIP.NS
140,Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT.NS
141,Elgi Equipments Ltd.,Capital Goods,ELGIEQUIP.NS
142,Emami Ltd.,Fast Moving Consumer Goods,EMAMILTD.NS
143,Endurance Technologies Ltd.,Automobile and Auto Components,ENDURANCE.NS
144,Engineers India Ltd.,Construction,ENGINERSIN.NS
145,Equitas Small Finance Bank Ltd.,Financial Services,EQUITASBNK.NS
146,Eris Lifesciences Ltd.,Healthcare,ERIS.NS
147,Escorts Kubota Ltd.,Capital Goods,ESCORTS.NS
148,Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND.NS
149,FDC Ltd.,Healthcare,FDC.NS
150,FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA.NS
151,Federal Bank Ltd.,Financial Services,FEDERALBNK.NS
152,Fertilisers and Chemicals Travancore Ltd.,Chemicals,FACT.NS
153,Fine Organic Industries Ltd.,Chemicals,FINEORG.NS
154,Finolex Cables Ltd.,Capital Goods,FINCABLES.NS
155,Finolex Industries Ltd.,Capital Goods,FINPIPE.NS
156,Firstsource Solutions Ltd.,Services,FSL.NS
157,Five-Star Business Finance Ltd.,Financial Services,FIVESTAR.NS
158,Fortis Healthcare Ltd.,Healthcare,FORTIS.NS
159,G R Infraprojects Ltd.,Construction,GRINFRA.NS
160,GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL.NS
161,GMM Pfaudler Ltd.,Capital Goods,GMMPFAUDLR.NS
162,GMR Airports Infrastructure Ltd.,Services,GMRINFRA.NS
163,Galaxy Surfactants Ltd.,Chemicals,GALAXYSURF.NS
164,Garware Technical Fibres Ltd.,Textiles,GARFIBRES.NS
165,General Insurance Corporation of India,Financial Services,GICRE.NS
166,Gland Pharma Ltd.,Healthcare,GLAND.NS
167,Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,GLAXO.NS
168,Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK.NS
169,Global Health Ltd.,Healthcare,MEDANTA.NS
170,Go Fashion (India) Ltd.,Consumer Services,GOCOLORS.NS
171,Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,GODFRYPHLP.NS
172,Godrej Agrovet Ltd.,Fast Moving Consumer Goods,GODREJAGRO.NS
173,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP.NS
174,Godrej Industries Ltd.,Diversified,GODREJIND.NS
175,Godrej Properties Ltd.,Realty,GODREJPROP.NS
176,Granules India Ltd.,Healthcare,GRANULES.NS
177,Graphite India Ltd.,Capital Goods,GRAPHITE.NS
178,Grasim Industries Ltd.,Construction Materials,GRASIM.NS
179,Great Eastern Shipping Co. Ltd.,Services,GESHIP.NS
180,Greenpanel Industries Ltd.,Consumer Durables,GREENPANEL.NS
181,Grindwell Norton Ltd.,Capital Goods,GRINDWELL.NS
182,Gujarat Alkalies & Chemicals Ltd.,Chemicals,GUJALKALI.NS
183,Gujarat Ambuja Exports Ltd.,Fast Moving Consumer Goods,GAEL.NS
184,Gujarat Fluorochemicals Ltd.,Chemicals,FLUOROCHEM.NS
185,Gujarat Gas Ltd.,Oil Gas & Consumable Fuels,GUJGASLTD.NS
186,Gujarat Narmada Valley Fertilizers and Chemicals,Chemicals,GNFC.NS
187,Gujarat Pipavav Port Ltd.,Services,GPPL.NS
188,Gujarat State Fertilizers & Chemicals Ltd.,Chemicals,GSFC.NS
189,Gujarat State Petronet Ltd.,Oil Gas & Consumable Fuels,GSPL.NS
190,H.E.G. Ltd.,Capital Goods,HEG.NS
191,HCL Technologies Ltd.,Information Technology,HCLTECH.NS
192,HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC.NS
193,HDFC Bank Ltd.,Financial Services,HDFCBANK.NS
194,HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE.NS
195,HFCL Ltd.,Telecommunication,HFCL.NS
196,HLE Glascoat Ltd.,Capital Goods,HLEGLAS.NS
197,Happiest Minds Technologies Ltd.,Information Technology,HAPPSTMNDS.NS
198,Havells India Ltd.,Consumer Durables,HAVELLS.NS
199,Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO.NS
200,Hikal Ltd.,Healthcare,HIKAL.NS
201,Hindalco Industries Ltd.,Metals & Mining,HINDALCO.NS
202,Hinduja Global Solutions Ltd.,Services,HGS.NS
203,Hindustan Aeronautics Ltd.,Capital Goods,HAL.NS
204,Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER.NS
205,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO.NS
206,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR.NS
207,Hindustan Zinc Ltd.,Metals & Mining,HINDZINC.NS
208,Hitachi Energy India Ltd.,Capital Goods,POWERINDIA.NS
209,Home First Finance Company India Ltd.,Financial Services,HOMEFIRST.NS
210,Honeywell Automation India Ltd.,Capital Goods,HONAUT.NS
211,Housing & Urban Development Corporation Ltd.,Financial Services,HUDCO.NS
212,Housing Development Finance Corporation Ltd.,Financial Services,HDFC.NS
213,ICICI Bank Ltd.,Financial Services,ICICIBANK.NS
214,ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI.NS
215,ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI.NS
216,ICICI Securities Ltd.,Financial Services,ISEC.NS
217,IDBI Bank Ltd.,Financial Services,IDBI.NS
218,IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB.NS
219,IDFC Ltd.,Financial Services,IDFC.NS
220,IFB Industries Ltd.,Consumer Durables,IFBIND.NS
221,IIFL Finance Ltd.,Financial Services,IIFL.NS
222,IRB Infrastructure Developers Ltd.,Construction,IRB.NS
223,ITC Ltd.,Fast Moving Consumer Goods,ITC.NS
224,ITI Ltd.,Telecommunication,ITI.NS
225,India Cements Ltd.,Construction Materials,INDIACEM.NS
226,Indiabulls Housing Finance Ltd.,Financial Services,IBULHSGFIN.NS
227,Indiabulls Real Estate Ltd.,Realty,IBREALEST.NS
228,Indiamart Intermesh Ltd.,Consumer Services,INDIAMART.NS
229,Indian Bank,Financial Services,INDIANB.NS
230,Indian Energy Exchange Ltd.,Financial Services,IEX.NS
231,Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL.NS
232,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC.NS
233,Indian Overseas Bank,Financial Services,IOB.NS
234,Indian Railway Catering And Tourism Corporation,Consumer Services,IRCTC.NS
235,Indian Railway Finance Corporation Ltd.,Financial Services,IRFC.NS
236,Indigo Paints Ltd.,Consumer Durables,INDIGOPNTS.NS
237,Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,IGL.NS
238,Indus Towers Ltd.,Telecommunication,INDUSTOWER.NS
239,IndusInd Bank Ltd.,Financial Services,INDUSINDBK.NS
240,Infibeam Avenues Ltd.,Financial Services,INFIBEAM.NS
241,Info Edge (India) Ltd.,Consumer Services,NAUKRI.NS
242,Infosys Ltd.,Information Technology,INFY.NS
243,Ingersoll Rand (India) Ltd.,Capital Goods,INGERRAND.NS
244,Intellect Design Arena Ltd.,Information Technology,INTELLECT.NS
245,InterGlobe Aviation Ltd.,Services,INDIGO.NS
246,Ipca Laboratories Ltd.,Healthcare,IPCALAB.NS
247,J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,JBCHEPHARM.NS
248,J.K. Cement Ltd.,Construction Materials,JKCEMENT.NS
249,JBM Auto Ltd.,Automobile and Auto Components,JBMA.NS
250,JK Lakshmi Cement Ltd.,Construction Materials,JKLAKSHMI.NS
251,JK Paper Ltd.,Forest Materials,JKPAPER.NS
252,JM Financial Ltd.,Financial Services,JMFINANCIL.NS
253,JSW Energy Ltd.,Power,JSWENERGY.NS
254,JSW Steel Ltd.,Metals & Mining,JSWSTEEL.NS
255,Jamna Auto Industries Ltd.,Automobile and Auto Components,JAMNAAUTO.NS
256,Jindal Stainless Ltd.,Metals & Mining,JSL.NS
257,Jindal Steel & Power Ltd.,Metals & Mining,JINDALSTEL.NS
258,Jindal Worldwide Ltd.,Textiles,JINDWORLD.NS
259,Jubilant Foodworks Ltd.,Consumer Services,JUBLFOOD.NS
260,Jubilant Ingrevia Ltd.,Chemicals,JUBLINGREA.NS
261,Jubilant Pharmova Ltd.,Healthcare,JUBLPHARMA.NS
262,Justdial Ltd.,Consumer Services,JUSTDIAL.NS
263,Jyothy Labs Ltd.,Fast Moving Consumer Goods,JYOTHYLAB.NS
264,K.P.R. Mill Ltd.,Textiles,KPRMILL.NS
265,KEI Industries Ltd.,Capital Goods,KEI.NS
266,KNR Constructions Ltd.,Construction,KNRCON.NS
267,KPIT Technologies Ltd.,Information Technology,KPITTECH.NS
268,KRBL Ltd.,Fast Moving Consumer Goods,KRBL.NS
269,KSB Ltd.,Capital Goods,KSB.NS
270,Kajaria Ceramics Ltd.,Consumer Durables,KAJARIACER.NS
271,Kalpataru Projects International Ltd.,Construction,KPIL.NS
272,Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL.NS
273,Kansai Nerolac Paints Ltd.,Consumer Durables,KANSAINER.NS
274,Karur Vysya Bank Ltd.,Financial Services,KARURVYSYA.NS
275,Kec International Ltd.,Capital Goods,KEC.NS
276,Kennametal India Ltd.,Capital Goods,KENNAMET.NS
277,Keystone Realtors Ltd.,Realty,RUSTOMJEE.NS
278,Kfin Technologies Ltd.,Financial Services,KFINTECH.NS
279,Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK.NS
280,Krishna Institute of Medical Sciences Ltd.,Healthcare,KIMS.NS
281,L&T Finance Holdings Ltd.,Financial Services,L&TFH.NS
282,L&T Technology Services Ltd.,Information Technology,LTTS.NS
283,LIC Housing Finance Ltd.,Financial Services,LICHSGFIN.NS
284,LTIMindtree Ltd.,Information Technology,LTIM.NS
285,Lakshmi Machine Works Ltd.,Capital Goods,LAXMIMACH.NS
286,Larsen & Toubro Ltd.,Construction,LT.NS
287,Latent View Analytics Ltd.,Information Technology,LATENTVIEW.NS
288,Laurus Labs Ltd.,Healthcare,LAURUSLABS.NS
289,Laxmi Organic Industries Ltd.,Chemicals,LXCHEM.NS
290,Lemon Tree Hotels Ltd.,Consumer Services,LEMONTREE.NS
291,Life Insurance Corporation of India,Financial Services,LICI.NS
292,Linde India Ltd.,Chemicals,LINDEINDIA.NS
293,Lupin Ltd.,Healthcare,LUPIN.NS
294,Lux Industries Ltd.,Textiles,LUXIND.NS
295,MMTC Ltd.,Services,MMTC.NS
296,MRF Ltd.,Automobile and Auto Components,MRF.NS
297,MTAR Technologies Ltd.,Capital Goods,MTARTECH.NS
298,Macrotech Developers Ltd.,Realty,LODHA.NS
299,Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,MGL.NS
300,Mahindra & Mahindra Financial Services Ltd.,Financial Services,M&MFIN.NS
301,Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M.NS
302,Mahindra Holidays & Resorts India Ltd.,Consumer Services,MHRIL.NS
303,Mahindra Lifespace Developers Ltd.,Realty,MAHLIFE.NS
304,Mahindra Logistics Ltd.,Services,MAHLOG.NS
305,Manappuram Finance Ltd.,Financial Services,MANAPPURAM.NS
