,Company Name,Industry,stock
439,Tata Chemicals Ltd.,Chemicals,TATACHEM.NS
440,Tata Communications Ltd.,Telecommunication,TATACOMM.NS
441,Tata Consultancy Services Ltd.,Information Technology,TCS.NS
442,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM.NS
443,Tata Elxsi Ltd.,Information Technology,TATAELXSI.NS
444,Tata Investment Corporation Ltd.,Financial Services,TATAINVEST.NS
445,Tata Motors Ltd DVR,Automobile and Auto Components,TATAMTRDVR.NS
446,Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS.NS
447,Tata Power Co. Ltd.,Power,TATAPOWER.NS
448,Tata Steel Ltd.,Metals & Mining,TATASTEEL.NS
449,Tata Teleservices (Maharashtra) Ltd.,Telecommunication,TTML.NS
450,Teamlease Services Ltd.,Services,TEAMLEASE.NS
451,Tech Mahindra Ltd.,Information Technology,TECHM.NS
452,Tejas Networks Ltd.,Telecommunication,TEJASNET.NS
453,The New India Assurance Company Ltd.,Financial Services,NIACL.NS
454,The Ramco Cements Ltd.,Construction Materials,RAMCOCEM.NS
455,Thermax Ltd.,Capital Goods,THERMAX.NS
456,Timken India Ltd.,Capital Goods,TIMKEN.NS
457,Titan Company Ltd.,Consumer Durables,TITAN.NS
458,Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM.NS
459,Torrent Power Ltd.,Power,TORNTPOWER.NS
460,Transport Corporation of India Ltd.,Services,TCI.NS
461,Trent Ltd.,Consumer Services,TRENT.NS
462,Trident Ltd.,Textiles,TRIDENT.NS
463,Triveni Engineering & Industries Ltd.,Fast Moving Consumer Goods,TRIVENI.NS
464,Triveni Turbine Ltd.,Capital Goods,TRITURBINE.NS
465,Tube Investments of India Ltd.,Automobile and Auto Components,TIINDIA.NS
466,UCO Bank,Financial Services,UCOBANK.NS
467,UFLEX Ltd.,Capital Goods,UFLEX.NS
468,UNO Minda Ltd.,Automobile and Auto Components,UNOMINDA.NS
469,UPL Ltd.,Chemicals,UPL.NS
470,UTI Asset Management Company Ltd.,Financial Services,UTIAMC.NS
471,UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO.NS
472,Union Bank of India,Financial Services,UNIONBANK.NS
473,United Breweries Ltd.,Fast Moving Consumer Goods,UBL.NS
474,United Spirits Ltd.,Fast Moving Consumer Goods,MCDOWELL-N.NS
475,V-Guard Industries Ltd.,Consumer Durables,VGUARD.NS
476,V-Mart Retail Ltd.,Consumer Services,VMART.NS
477,V.I.P. Industries Ltd.,Consumer Durables,VIPIND.NS
478,Vaibhav Global Ltd.,Consumer Durables,VAIBHAVGBL.NS
479,Vardhman Textiles Ltd.,Textiles,VTL.NS
480,Varroc Engineering Ltd.,Automobile and Auto Components,VARROC.NS
481,Varun Beverages Ltd.,Fast Moving Consumer Goods,VBL.NS
482,Vedant Fashions Ltd.,Consumer Services,MANYAVAR.NS
483,Vedanta Ltd.,Metals & Mining,VEDL.NS
484,Vijaya Diagnostic Centre Ltd.,Healthcare,VIJAYA.NS
485,Vinati Organics Ltd.,Chemicals,VINATIORGA.NS
486,Vodafone Idea Ltd.,Telecommunication,IDEA.NS
487,Voltas Ltd.,Consumer Durables,VOLTAS.NS
488,Welspun Corp Ltd.,Capital Goods,WELCORP.NS
489,Welspun India Ltd.,Textiles,WELSPUNIND.NS
490,Westlife Foodworld Ltd.,Consumer Services,WESTLIFE.NS
491,Whirlpool of India Ltd.,Consumer Durables,WHIRLPOOL.NS
492,Wipro Ltd.,Information Technology,WIPRO.NS
493,Yes Bank Ltd.,Financial Services,YESBANK.NS
494,ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components,ZFCVINDIA.NS
495,Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,ZEEL.NS
496,Zensar Technolgies Ltd.,Information Technology,ZENSARTECH.NS
497,Zomato Ltd.,Consumer Services,ZOMATO.NS
498,Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE.NS
499,Zydus Wellness Ltd.,Fast Moving Consumer Goods,ZYDUSWELL.NS
500,eClerx Services Ltd.,Services,nan.NS
